mechanism,x_key,x,seed_mean,ci95,honesty,honesty_ci95,seeds
Mstar,period,3150.0,0.9534400000000004,0.00281349706948488,0.9534400000000004,0.00281349706948488,50
Mstar,period,3200.0,0.9542400000000003,0.0026613613358580255,0.9542400000000003,0.0026613613358580255,50
Mstar,period,3250.0,0.9535200000000004,0.0027787739454658805,0.9535200000000004,0.0027787739454658805,50
Mstar,period,3300.0,0.9552000000000005,0.0030957415912831,0.9552000000000005,0.0030957415912831,50
Mstar,period,3350.0,0.9552800000000005,0.0030359231610829706,0.9552800000000005,0.0030359231610829706,50
Mstar,period,3400.0,0.9547200000000002,0.002958496483012953,0.9547200000000002,0.002958496483012953,50
Mstar,period,3450.0,0.9538400000000006,0.0030070279280379176,0.9538400000000006,0.0030070279280379176,50
Mstar,period,3500.0,0.9552800000000006,0.0033125502924484067,0.9552800000000006,0.0033125502924484067,50
Mstar,period,3550.0,0.955120000000001,0.0031303148467845877,0.955120000000001,0.0031303148467845877,50
Mstar,period,3600.0,0.9548800000000003,0.0035135883424214647,0.9548800000000003,0.0035135883424214647,50
Mstar,period,3650.0,0.9559200000000007,0.0033711069754607343,0.9559200000000007,0.0033711069754607343,50
Mstar,period,3700.0,0.9579200000000004,0.003529261996508621,0.9579200000000004,0.003529261996508621,50
Mstar,period,3750.0,0.9581600000000003,0.003668474473129126,0.9581600000000003,0.003668474473129126,50
Mstar,period,3800.0,0.9594400000000006,0.0032384079051286934,0.9594400000000006,0.0032384079051286934,50
Mstar,period,3850.0,0.9630400000000008,0.003379060603185451,0.9630400000000008,0.003379060603185451,50
Mstar,period,3900.0,0.9643200000000007,0.0034978444562330123,0.9643200000000007,0.0034978444562330123,50
Mstar,period,3950.0,0.9646400000000006,0.0033701393680380665,0.9646400000000006,0.0033701393680380665,50
Mstar,period,4000.0,0.9665600000000005,0.0031896215700299014,0.9665600000000005,0.0031896215700299014,50
Mstar,period,4050.0,0.9653600000000006,0.0031168213551629837,0.9653600000000006,0.0031168213551629837,50
Mstar,period,4100.0,0.9648000000000008,0.0030631539301837277,0.9648000000000008,0.0030631539301837277,50
Mstar,period,4150.0,0.9661600000000007,0.0035290487330157435,0.9661600000000007,0.0035290487330157435,50
Mstar,period,4200.0,0.9678400000000004,0.0029881969413008934,0.9678400000000004,0.0029881969413008934,50
Mstar,period,4250.0,0.9681600000000001,0.0032146926696031176,0.9681600000000001,0.0032146926696031176,50
Mstar,period,4300.0,0.9683200000000005,0.0028759366891501657,0.9683200000000005,0.0028759366891501657,50
Mstar,period,4350.0,0.9696800000000003,0.0029127752814111863,0.9696800000000003,0.0029127752814111863,50
Mstar,period,4400.0,0.9692800000000004,0.002738302656756557,0.9692800000000004,0.002738302656756557,50
Mstar,period,4450.0,0.9692800000000007,0.0025778497706421934,0.9692800000000007,0.0025778497706421934,50
Mstar,period,4500.0,0.9694400000000004,0.002786617619983052,0.9694400000000004,0.002786617619983052,50
Mstar,period,4550.0,0.9705600000000004,0.0028045658772794077,0.9705600000000004,0.0028045658772794077,50
Mstar,period,4600.0,0.9719200000000007,0.0026360717440919576,0.9719200000000007,0.0026360717440919576,50
Mstar,period,4650.0,0.9716800000000003,0.002648888793437734,0.9716800000000003,0.002648888793437734,50
Mstar,period,4700.0,0.9714400000000003,0.002641016046903163,0.9714400000000003,0.002641016046903163,50
Mstar,period,4750.0,0.9722400000000007,0.0027924634572362825,0.9722400000000007,0.0027924634572362825,50
Mstar,period,4800.0,0.9730400000000006,0.0032057053139675855,0.9730400000000006,0.0032057053139675855,50
Mstar,period,4850.0,0.9722400000000004,0.0032025733652798678,0.9722400000000004,0.0032025733652798678,50
Mstar,period,4900.0,0.9729600000000005,0.00351015933541485,0.9729600000000005,0.00351015933541485,50
Mstar,period,4950.0,0.9744000000000006,0.002678650406454715,0.9744000000000006,0.002678650406454715,50
Mstar,period,5000.0,0.9761600000000008,0.0022395519551910398,0.9761600000000008,0.0022395519551910398,50
Mstar,period,5050.0,0.9780000000000006,0.0021975986894790436,0.9780000000000006,0.0021975986894790436,50
Mstar,period,5100.0,0.9791200000000002,0.002232033834868999,0.9791200000000002,0.002232033834868999,50
Mstar,period,5150.0,0.9789600000000007,0.00248236068289844,0.9789600000000007,0.00248236068289844,50
Mstar,period,5200.0,0.9792000000000004,0.002725077613573605,0.9792000000000004,0.002725077613573605,50
Mstar,period,5250.0,0.9790400000000007,0.002539808370724061,0.9790400000000007,0.002539808370724061,50
Mstar,period,5300.0,0.9790400000000004,0.002489929027100975,0.9790400000000004,0.002489929027100975,50
Mstar,period,5350.0,0.9796000000000007,0.002276108960484979,0.9796000000000007,0.002276108960484979,50
Mstar,period,5400.0,0.9800000000000004,0.002295316971574952,0.9800000000000004,0.002295316971574952,50
Mstar,period,5450.0,0.9803200000000004,0.00224938832574547,0.9803200000000004,0.00224938832574547,50
Mstar,period,5500.0,0.9796000000000005,0.002287104719946161,0.9796000000000005,0.002287104719946161,50
Mstar,period,5550.0,0.9799200000000006,0.0024176439440083,0.9799200000000006,0.0024176439440083,50
Mstar,period,5600.0,0.9792800000000006,0.0024300644929713304,0.9792800000000006,0.0024300644929713304,50
Mstar,period,5650.0,0.9800800000000004,0.0022787527816768554,0.9800800000000004,0.0022787527816768554,50
Mstar,period,5700.0,0.9812800000000002,0.0025088000000000016,0.9812800000000002,0.0025088000000000016,50
Mstar,period,5750.0,0.9827200000000006,0.0024786184538972533,0.9827200000000006,0.0024786184538972533,50
Mstar,period,5800.0,0.9835200000000002,0.0023773566497267526,0.9835200000000002,0.0023773566497267526,50
Mstar,period,5850.0,0.9839200000000002,0.0025391168228342726,0.9839200000000002,0.0025391168228342726,50
Mstar,period,5900.0,0.9846400000000004,0.0023744000000000018,0.9846400000000004,0.0023744000000000018,50
Mstar,period,5950.0,0.9834400000000002,0.0023917704237656277,0.9834400000000002,0.0023917704237656277,50
Mstar,period,6000.0,0.9829600000000002,0.00237914996584915,0.9829600000000002,0.00237914996584915,50
Mstar,period,6050.0,0.9825600000000003,0.002259626022154995,0.9825600000000003,0.002259626022154995,50
Mstar,period,6100.0,0.9824000000000004,0.0021947428095337286,0.9824000000000004,0.0021947428095337286,50
Mstar,period,6150.0,0.9832800000000005,0.002302846377855025,0.9832800000000005,0.002302846377855025,50
Mstar,period,6200.0,0.9847200000000007,0.0020245684577212997,0.9847200000000007,0.0020245684577212997,50
Mstar,period,6250.0,0.9848000000000003,0.002028406270942783,0.9848000000000003,0.002028406270942783,50
Mstar,period,6300.0,0.9853600000000005,0.0022910502744374708,0.9853600000000005,0.0022910502744374708,50
Mstar,period,6350.0,0.9860000000000007,0.0021630792865727343,0.9860000000000007,0.0021630792865727343,50
Mstar,period,6400.0,0.9862400000000002,0.0019676331365373998,0.9862400000000002,0.0019676331365373998,50
Mstar,period,6450.0,0.9868000000000002,0.0019040000000000016,0.9868000000000002,0.0019040000000000016,50
Mstar,period,6500.0,0.9868800000000002,0.001914381111482248,0.9868800000000002,0.001914381111482248,50
Mstar,period,6550.0,0.9875200000000001,0.0019222280405820755,0.9875200000000001,0.0019222280405820755,50
Mstar,period,6600.0,0.9888000000000001,0.0018335190208994304,0.9888000000000001,0.0018335190208994304,50
Mstar,period,6650.0,0.9888000000000001,0.0018874575491915058,0.9888000000000001,0.0018874575491915058,50
Mstar,period,6700.0,0.9888800000000002,0.0015240233069083958,0.9888800000000002,0.0015240233069083958,50
Mstar,period,6750.0,0.9893600000000004,0.0016247336273986599,0.9893600000000004,0.0016247336273986599,50
Mstar,period,6800.0,0.9889600000000002,0.0016696642057611474,0.9889600000000002,0.0016696642057611474,50
Mstar,period,6850.0,0.9883200000000001,0.0016887876835173824,0.9883200000000001,0.0016887876835173824,50
Mstar,period,6900.0,0.9887200000000002,0.0017306084016899968,0.9887200000000002,0.0017306084016899968,50
Mstar,period,6950.0,0.9886400000000005,0.0017688909972070083,0.9886400000000005,0.0017688909972070083,50
