mechanism,x_key,x,seed_mean,ci95,dispute,dispute_ci95,honesty,honesty_ci95,honesty_ci_source,honesty_ci_source_ci95,shirk,shirk_ci95,undetected_shortfall,undetected_shortfall_ci95,welfare,welfare_ci95
centralized,cv,0.75,0.256644175,0.005968657216689828,0.30560750000000003,0.008263880936119761,0.42088249999999994,0.015304249273563655,0.42088249999999994,0.015304249273563655,0.5791175000000001,0.015304249273563655,0.27351,0.007204351455708816,0.256644175,0.005968657216689828
centralized,cv,1.0,0.28153445,0.006061037718539353,0.30524500000000004,0.009855192260146143,0.5167550000000001,0.015541122355229111,0.5167550000000001,0.015541122355229111,0.483245,0.015541122355229111,0.17800000000000002,0.005824118637097796,0.28153445,0.006061037718539353
centralized,cv,1.25,0.30061665,0.005725843644908391,0.28669,0.010438390924531105,0.5977350000000001,0.014681650371559978,0.5977350000000001,0.014681650371559978,0.4022649999999999,0.014681650371559976,0.11557500000000001,0.004386379898750405,0.30061665,0.005725843644908391
centralized,cv,1.5,0.31272662500000004,0.005433446300821969,0.2634175,0.010745830451013046,0.6608375,0.013931913591851194,0.6608375,0.013931913591851194,0.33916250000000003,0.013931913591851192,0.07574499999999999,0.0032837643494359123,0.31272662500000004,0.005433446300821969
centralized,cv,1.75,0.31780587500000007,0.005012159653127901,0.24268499999999998,0.010510422111505333,0.7059124999999998,0.012851691418276665,0.7059124999999998,0.012851691418276665,0.2940875,0.012851691418276665,0.05140249999999999,0.0024240849315678987,0.31780587500000007,0.005012159653127901
centralized,cv,2.0,0.318041325,0.0052066741141268,0.22587500000000002,0.011458949032053151,0.7385674999999999,0.013350446446478972,0.7385674999999999,0.013350446446478972,0.26143250000000007,0.013350446446478972,0.0355575,0.001965250012907346,0.318041325,0.0052066741141268
centralized,cv,2.25,0.316486675,0.004691754305182452,0.20842499999999997,0.010705489949582227,0.7666325,0.012030139244057573,0.7666325,0.012030139244057573,0.23336750000000003,0.012030139244057573,0.024942499999999996,0.0014006527904855469,0.316486675,0.004691754305182452
centralized,cv,2.5,0.31139569999999994,0.0048496423980820364,0.19643500000000003,0.011360068696993167,0.7856300000000002,0.012434980507902663,0.7856300000000002,0.012434980507902663,0.21437,0.012434980507902663,0.017935,0.0011470525568084524,0.31139569999999994,0.0048496423980820364
centralized,cv,2.75,0.30358545,0.004770351588837452,0.1891025,0.011388089774364703,0.797655,0.012231670740608849,0.797655,0.012231670740608849,0.202345,0.012231670740608852,0.0132425,0.000914705245398536,0.30358545,0.004770351588837452
centralized,cv,3.0,0.296095975,0.004707096948256393,0.17981750000000002,0.011432800589103356,0.8105025,0.012069479354503566,0.8105025,0.012069479354503566,0.1894975,0.01206947935450357,0.009680000000000001,0.0006890717087487917,0.296095975,0.004707096948256393
