mechanism,x_key,x,stake,seed_mean,ci95,analytic,deterrence,dispute,dispute_ci95,honesty,honesty_ci95,honesty_ci_source,honesty_ci_source_ci95,shirk,shirk_ci95,undetected_shortfall,undetected_shortfall_ci95,welfare,welfare_ci95
stake=0.30,match_factor,0.2,0.3,0.7923575,0.012101879308315314,0.794310443245799,0.46429382153909243,0.08122000000000001,0.0047802399907633224,0.7923575,0.012101879308315314,0.7923575,0.012101879308315314,0.20764250000000004,0.012101879308315314,0.1264225,0.007399764329710272,0.4815608750000001,0.005445845688741889
stake=0.30,match_factor,0.3,0.3,0.8862150000000001,0.009923655169321229,0.8840082413701221,0.539052996193692,0.04435500000000001,0.003889137068161714,0.8862150000000001,0.009923655169321229,0.8862150000000001,0.009923655169321229,0.11378500000000001,0.009923655169321229,0.06943000000000002,0.0060987930998143754,0.5237967499999999,0.00446564482619455
stake=0.60,match_factor,0.0,0.6,0.73938,0.013358997432956463,0.7466808839026252,0.43281627431610326,0.10249499999999999,0.005356441354051582,0.73938,0.013358997432956463,0.73938,0.013358997432956463,0.26062,0.013358997432956463,0.15812500000000002,0.008093074144045021,0.45772099999999993,0.00601154884483041
stake=0.60,match_factor,0.05,0.6,0.8021474999999999,0.0122497784487036,0.80260957644349,0.47019586164340305,0.077385,0.004859376512402896,0.8021474999999999,0.0122497784487036,0.8021474999999999,0.0122497784487036,0.19785250000000001,0.012249778448703601,0.12046749999999999,0.007462111107109602,0.48596637500000006,0.005512400301916619
stake=0.60,match_factor,0.1,0.6,0.8558150000000002,0.01065307353820976,0.8503363956663013,0.5075754489707028,0.056432500000000003,0.00420469419936837,0.8558150000000002,0.01065307353820976,0.8558150000000002,0.01065307353820976,0.144185,0.01065307353820976,0.0877525,0.006520396756991545,0.51011675,0.004793883092194391
stake=0.60,match_factor,0.15,0.6,0.8909025000000003,0.009935952334112597,0.8896700307808656,0.5449550362980026,0.04255749999999999,0.0039036129570287604,0.8909025000000003,0.009935952334112597,0.8909025000000003,0.009935952334112597,0.10909750000000001,0.009935952334112597,0.06654,0.006097690047348696,0.5259061250000001,0.004471178550350665
stake=0.60,match_factor,0.2,0.6,0.9214850000000001,0.007027423486958113,0.9209768839497963,0.5823346236253024,0.030482500000000003,0.0027828459753143422,0.9214850000000001,0.007027423486958113,0.9214850000000001,0.007027423486958113,0.078515,0.007027423486958112,0.04803250000000001,0.004302797928468443,0.5396682500000001,0.003162340569131146
stake=0.60,match_factor,0.3,0.6,0.964785,0.0045539309182820115,0.9629073616535527,0.657093798279902,0.01365,0.0017290765737756665,0.964785,0.0045539309182820115,0.964785,0.0045539309182820115,0.03521499999999999,0.004553930918282012,0.021565000000000004,0.002864081299351143,0.55915325,0.0020492689132269007
stake=1.00,match_factor,0.0,1.0,0.929425,0.006232805525377132,0.9266128616855251,0.5902040104310499,0.027495000000000002,0.0024714461393681997,0.929425,0.006232805525377132,0.929425,0.006232805525377132,0.070575,0.006232805525377132,0.04308000000000001,0.003821878671992917,0.5432412500000001,0.002804762486419705
stake=1.00,match_factor,0.05,1.0,0.9525425,0.00559986766087315,0.9492805985650734,0.6275835977583497,0.018395000000000005,0.002145775069782714,0.9525425,0.00559986766087315,0.9525425,0.00559986766087315,0.04745749999999999,0.005599867660873151,0.0290625,0.003498089450765311,0.5536441250000002,0.0025199404473929135
