mechanism,x_key,x,seed_mean,ci95,analytic,dispute,dispute_ci95,honesty,honesty_ci95,honesty_ci_source,honesty_ci_source_ci95,shirk,shirk_ci95,undetected_shortfall,undetected_shortfall_ci95,welfare,welfare_ci95
Mstar,stake,0.5,0.8545175000000002,0.010645755556976163,0.8480346141157251,0.0569625,0.004201015628464867,0.8545175000000002,0.010645755556976163,0.8545175000000002,0.010645755556976163,0.14548250000000001,0.010645755556976163,0.08852,0.0065174137348733025,0.509532875,0.004790590000639272
Mstar,stake,0.55,0.8742375,0.010270693883864934,0.8700035364465479,0.048995000000000004,0.0040296806098967415,0.8742375,0.010270693883864934,0.8742375,0.010270693883864934,0.12576249999999997,0.010270693883864935,0.07676750000000002,0.006303944415766266,0.5184068749999999,0.0046218122477392175
Mstar,stake,0.6000000000000001,0.8909025000000003,0.009935952334112597,0.8896700307808656,0.04255749999999999,0.0039036129570287604,0.8909025000000003,0.009935952334112597,0.8909025000000003,0.009935952334112597,0.10909750000000001,0.009935952334112597,0.06654,0.006097690047348696,0.5259061250000001,0.004471178550350665
Mstar,stake,0.8,0.9505975,0.005678326134949319,0.9471950442577207,0.019100000000000002,0.0021584059119656067,0.9505975,0.005678326134949319,0.9505975,0.005678326134949319,0.04940249999999999,0.005678326134949319,0.030302499999999996,0.0035652632903043664,0.552768875,0.0025552467607271893
Mstar,stake,1.0,0.9810750000000001,0.003956147165354114,0.9778749457443165,0.0072724999999999995,0.0015091423887075533,0.9810750000000001,0.003956147165354114,0.9810750000000001,0.003956147165354114,0.018925,0.003956147165354114,0.011652500000000001,0.002476993289343866,0.5664837500000001,0.0017802662244093485
Mstar,stake,1.2,0.9930925,0.0023860967266625846,0.9919178199563674,0.0026075,0.0008912797433517104,0.9930925,0.0023860967266625846,0.9930925,0.0023860967266625846,0.0069075,0.0023860967266625846,0.0043,0.001509414034409621,0.5718916250000001,0.0010737435269981594
stake_only,stake,0.0,0.29266000000000003,0.013730196625104843,0.3028131432851292,0.27820999999999996,0.00556408685043574,0.29266000000000003,0.013730196625104843,0.29266000000000003,0.013730196625104843,0.7073400000000001,0.01373019662510484,0.42913,0.00836733590765395,0.256697,0.006178588481297179
stake_only,stake,0.05,0.32964249999999995,0.013081588770972288,0.337988432198439,0.26371,0.005355498325793387,0.32964249999999995,0.013081588770972288,0.32964249999999995,0.013081588770972288,0.6703575,0.013081588770972288,0.4066475,0.007938238595678463,0.273339125,0.005886714946937531
stake_only,stake,0.1,0.365705,0.013896518431345576,0.37463882773109325,0.24981750000000003,0.005637557469267425,0.365705,0.013896518431345576,0.365705,0.013896518431345576,0.6342949999999999,0.013896518431345576,0.38447749999999997,0.00844770615221922,0.28956725,0.006253433294105511
stake_only,stake,0.15000000000000002,0.40684,0.014627438707505092,0.41245876070368026,0.23362000000000002,0.005963826343561792,0.40684,0.014627438707505092,0.40684,0.014627438707505092,0.59316,0.014627438707505092,0.35954,0.00882887635725618,0.308078,0.006582347418377293
stake_only,stake,0.2,0.4414600000000001,0.015268476243634274,0.4511100459662277,0.21982500000000002,0.006201711937811684,0.4414600000000001,0.015268476243634274,0.4414600000000001,0.015268476243634274,0.55854,0.015268476243634274,0.33871500000000004,0.00921430338600227,0.32365700000000003,0.006870814309635426
stake_only,stake,0.25,0.47523499999999996,0.015424522872846,0.49023089048446605,0.20664249999999998,0.006244890314125185,0.47523499999999996,0.015424522872846,0.47523499999999996,0.015424522872846,0.5247649999999999,0.015424522872846003,0.3181225,0.009318140951814305,0.33885575,0.006941035292780703
stake_only,stake,0.30000000000000004,0.5142975000000001,0.015483828795083424,0.5294460151006064,0.1911225,0.006181496271244863,0.5142975000000001,0.015483828795083424,0.5142975000000001,0.015483828795083424,0.48570250000000004,0.015483828795083424,0.29458,0.009429996650363063,0.35643387499999996,0.006967722957787542
stake_only,stake,0.35000000000000003,0.5521775,0.015594419053691012,0.5683774197814473,0.1762725,0.006217933844521706,0.5521775,0.015594419053691012,0.5521775,0.015594419053691012,0.44782249999999996,0.015594419053691012,0.27154999999999996,0.009509420659153073,0.37347987500000007,0.0070174885741609554
stake_only,stake,0.4,0.5912550000000001,0.014577707303338827,0.6066552793185797,0.16098500000000002,0.0058153457366495135,0.5912550000000001,0.014577707303338827,0.5912550000000001,0.014577707303338827,0.4087449999999999,0.014577707303338827,0.24775999999999995,0.00887217810015151,0.39106475,0.006559968286502476
stake_only,stake,0.45,0.6314025,0.014129626542846172,0.6439284477171676,0.14504750000000002,0.005579543234074729,0.6314025,0.014129626542846172,0.6314025,0.014129626542846172,0.3685974999999999,0.014129626542846172,0.22355,0.008660195964377143,0.40913112500000004,0.006358331944280779
stake_only,stake,0.5,0.6678149999999999,0.01383498917553869,0.6798740756496939,0.13071,0.005509883163842216,0.6678149999999999,0.01383498917553869,0.6678149999999999,0.01383498917553869,0.33218500000000006,0.01383498917553869,0.20147500000000002,0.00843343837340262,0.4255167500000001,0.0062257451289924135
stake_only,stake,0.55,0.7059124999999998,0.012851691418276665,0.7142059041212525,0.11581250000000001,0.005154573668553535,0.7059124999999998,0.012851691418276665,0.7059124999999998,0.012851691418276665,0.2940875,0.012851691418276665,0.17827500000000002,0.007798458027460341,0.44266062500000003,0.0057832611382245
stake_only,stake,0.6000000000000001,0.73938,0.013358997432956463,0.7466808839026252,0.10249499999999999,0.005356441354051582,0.73938,0.013358997432956463,0.73938,0.013358997432956463,0.26062,0.013358997432956463,0.15812500000000002,0.008093074144045021,0.45772099999999993,0.00601154884483041
stake_only,stake,0.8,0.8595500000000003,0.01057304586525032,0.8548698383623616,0.054962500000000004,0.004172318095544016,0.8595500000000003,0.01057304586525032,0.8595500000000003,0.01057304586525032,0.14045,0.01057304586525032,0.0854875,0.006468597567666753,0.5117975,0.00475787063936264
stake_only,stake,1.0,0.929425,0.006232805525377132,0.9266128616855251,0.027495000000000002,0.0024714461393681997,0.929425,0.006232805525377132,0.929425,0.006232805525377132,0.070575,0.006232805525377132,0.04308000000000001,0.003821878671992917,0.5432412500000001,0.002804762486419705
stake_only,stake,1.2,0.97075,0.004462520366362715,0.9674440748412942,0.011327499999999999,0.0016852024827835373,0.97075,0.004462520366362715,0.97075,0.004462520366362715,0.029249999999999998,0.004462520366362714,0.0179225,0.002812609269509238,0.5618375,0.002008134164863217
receipt_only,stake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.14999999999999994,0.0
receipt_only,stake,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.14999999999999994,0.0
receipt_only,stake,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.14999999999999994,0.0
receipt_only,stake,0.15000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.14999999999999994,0.0
receipt_only,stake,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.14999999999999994,0.0
receipt_only,stake,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.14999999999999994,0.0
receipt_only,stake,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.14999999999999994,0.0
receipt_only,stake,0.35000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.14999999999999994,0.0
receipt_only,stake,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.14999999999999994,0.0
receipt_only,stake,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.14999999999999994,0.0
receipt_only,stake,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.14999999999999994,0.0
receipt_only,stake,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.14999999999999994,0.0
receipt_only,stake,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.14999999999999994,0.0
receipt_only,stake,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.14999999999999994,0.0
receipt_only,stake,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.14999999999999994,0.0
receipt_only,stake,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.14999999999999994,0.0
